latitude,longitude,marker,color,number,altitude,hdop,comment
45.70375,13.71794,circle,red,1,70.3,1.49,12
45.70376,13.71794,circle,red,2,70.2,1.49,17
45.70376,13.71794,circle,red,3,70.2,1.49,11
45.70371,13.71786,square,green,4,66.5,1.49,4
45.70359,13.71765,circle,red,5,65.2,1.49,11
45.70355,13.7177,square,green,6,64.6,1.48,4
45.70345,13.71784,square,green,7,63.1,1.27,7
45.70336,13.71783,square,green,8,59,1.27,7
45.70335,13.71784,square,green,9,58.1,1.27,7
45.70335,13.71784,square,green,10,58.1,1.27,6
45.70327,13.71782,square,green,11,60.1,1.27,6
45.70327,13.71782,circle,red,12,60.1,1.27,11
45.70327,13.71782,square,green,13,60.1,1.26,6
45.70327,13.71782,square,green,14,60.1,1.26,10
45.70327,13.71782,square,green,15,60.1,1.26,7
45.70336,13.71788,square,green,16,64.8,1.26,6
45.70339,13.7179,circle,red,17,64.7,1.72,13
45.70341,13.71792,circle,red,18,60.5,1.26,11
45.70345,13.71799,circle,red,19,60.8,1.26,18
45.70351,13.71806,circle,red,20,61.6,1.26,12
45.70359,13.71803,circle,red,21,62.4,1.34,17
45.70369,13.71793,circle,red,22,63.1,1.26,17
45.70373,13.71789,circle,red,23,63.1,1.33,19
45.70385,13.71793,square,green,24,66.3,1.26,10
45.70392,13.7179,square,green,25,67.6,1.26,9
45.704,13.71786,square,green,26,69.6,1.25,9
45.70411,13.71794,circle,red,27,73,1.25,18
45.70418,13.71807,circle,red,28,78.4,1.25,12
45.70416,13.71823,circle,red,29,81.9,1.25,11
45.70409,13.71831,square,green,30,79.4,1.25,8
45.70411,13.71847,circle,red,31,74.5,1.25,14
45.70405,13.7186,square,green,32,72.4,1.18,10
45.70403,13.71867,square,green,33,68.9,1.18,2
45.70398,13.71878,square,green,34,65.4,1.15,4
45.70407,13.71883,circle,red,35,64.9,1.17,12
45.70415,13.71887,circle,red,36,65.3,1.15,13
45.70417,13.71891,square,green,37,66.1,1.15,7
45.70417,13.71891,square,green,38,66.1,1.15,4
45.70417,13.71891,square,green,39,66.1,1.16,4
45.70417,13.71891,square,green,40,66.1,1.15,6
45.70417,13.71891,square,green,41,66.1,1.15,7
45.70417,13.71891,square,green,42,66.1,1.15,8
45.70415,13.71895,square,green,43,69.3,1.15,6
45.70416,13.71895,square,green,44,69.3,1.14,7
45.70416,13.71895,square,green,45,69.3,1.14,3
45.70416,13.71895,square,green,46,69.3,1.14,6
45.70416,13.71895,square,green,47,69.3,1.14,7
45.70416,13.71895,square,green,48,69.3,1.16,6
45.70416,13.71895,square,green,49,69.3,1.16,6
45.70416,13.71895,square,green,50,69.3,1.16,9
45.70417,13.71901,square,green,51,68.1,1.14,10
45.70426,13.71902,circle,red,52,67.8,1.15,21
45.70443,13.71902,circle,red,53,69.3,1.16,21
45.70448,13.71902,circle,red,54,70,1.16,23
45.70456,13.71892,circle,red,55,73,1.16,14
45.70464,13.71886,circle,red,56,75.7,1.14,14
45.70477,13.71881,circle,red,57,75.6,1.14,14
45.70478,13.71884,circle,red,58,75.6,1.14,18
45.70479,13.71884,circle,red,59,75,1.13,22
45.70476,13.719,circle,red,60,81.4,1.13,15
45.7047,13.71894,circle,red,61,85,1.13,21
45.70473,13.71884,circle,red,62,93,1.13,24
45.70464,13.7189,circle,red,63,91.3,1.13,23
45.70459,13.71898,circle,red,64,88.4,1.13,23
45.70461,13.71898,circle,red,65,87.9,1.13,29
45.70461,13.71898,circle,red,66,87.9,1.13,28
45.7046,13.71899,circle,red,67,86.5,1.13,28
45.70456,13.71898,circle,red,68,86.6,1.13,32
45.70456,13.71898,circle,red,69,86.6,1.15,34
45.70461,13.71913,circle,red,70,86.4,1.15,31
45.70465,13.71911,circle,red,71,85.5,1.14,17
45.70464,13.71911,circle,red,72,85.3,1.15,19
45.70467,13.71896,circle,red,73,88.3,1.14,24
45.70467,13.71896,circle,red,74,88.3,1.36,27
45.70467,13.71896,circle,red,75,88.3,1.13,27
45.70467,13.71896,circle,red,76,88.3,1.11,29
45.70467,13.71896,circle,red,77,88.3,1.1,25
45.70467,13.71896,circle,red,78,88.3,1.12,25
45.70467,13.71896,circle,red,79,88.3,1.12,18
45.70467,13.71896,circle,red,80,88.3,1.12,24
45.70467,13.71896,circle,red,81,88.3,1.12,30
45.7046,13.71902,circle,red,82,118.9,1.12,23
45.7046,13.71902,circle,red,83,118.9,1.12,26
45.7046,13.71902,circle,red,84,118.9,1.12,23
45.7046,13.71902,circle,red,85,118.9,1.12,26
45.7046,13.71902,circle,red,86,118.9,1.12,24
45.7046,13.71902,circle,red,87,118.9,1.12,27
45.7046,13.71902,circle,red,88,118.9,1.12,24
45.7046,13.71902,circle,red,89,118.9,1.12,23
45.7046,13.71903,circle,red,90,108.6,1.12,26
45.7047,13.71904,square,green,91,107.5,1.1,8
45.70474,13.71895,circle,red,92,105.6,1.11,26
45.7047,13.71904,circle,red,93,105,1.11,30
45.70461,13.71913,circle,red,94,102.9,1.1,20
45.70461,13.71916,circle,red,95,101.3,1.1,14
45.70461,13.71917,circle,red,96,101.3,1.09,14
45.70461,13.71917,circle,red,97,101.3,1.09,17
45.70461,13.71917,circle,red,98,101.3,1.01,20
45.70461,13.71917,circle,red,99,101.3,0.94,19
45.70461,13.71917,circle,red,100,101.3,0.91,15
