(-817, 9481, 1358)
(-261, 8377, 44)
(-214, 8339, -30)
(-193, 8327, -46)
(-51, 8271, -238)
(-339, 8311, 283)
(-190, 8330, 114)
(283, 8336, -1152)
(991, 7930, -655)
(-149, 8224, -190)
(-157, 8323, -78)
(-142, 8303, -77)
(-163, 8328, -84)
(-152, 8329, -85)
(-141, 8336, -108)
(-154, 8336, -101)
(-159, 8315, -113)
(-159, 8314, -88)
(-160, 8322, -75)
(-759, 6388, -216)
(-1623, 8962, -412)
(-1713, 8359, -414)
(1479, 9884, -125)
(-518, 8501, -195)
(-402, 9709, -233)
(-364, 10701, -350)
(-515, 10228, -165)
(-777, 11655, -73)
(-401, 7681, -94)
(-513, 7572, -156)
(-439, 7180, -114)
(-518, 7312, -145)
(-520, 6590, -30)
(-391, 6517, 308)
(-464, 7047, 348)
(-524, 6623, -45)
(-422, 6833, 349)
(-503, 6112, 39)
(-268, 5987, 263)
(-332, 5677, 375)
(-296, 6399, 413)
(-344, 6023, 282)
(-273, 6100, 398)
(-244, 7100, 562)
(-256, 7438, 315)
(-84, 7322, 647)
(-75, 7727, 652)
(-245, 8982, 371)
(-185, 9974, 542)
(-314, 10882, 809)
(-368, 11223, 655)
(-210, 11894, 501)
(-196, 11330, 469)
(-299, 10510, 39)
(-219, 10325, 6)
(568, 10550, -256)
(611, 9511, -185)
(787, 8780, -196)
(745, 9652, -171)
(968, 10116, -197)
(887, 10720, -221)
(719, 11561, -292)
(425, 13310, -405)
(311, 13502, -413)
(162, 14103, -542)
(125, 13500, -525)
(45, 13993, -527)
(-341, 14346, -623)
(-849, 14501, -481)
(-728, 15114, -1214)
(-729, 14842, -1001)
(-1008, 12237, -708)
(-872, 13890, -1400)
(178, 12760, -877)
(-2144, 13850, -1675)
(-1981, 12763, -899)
(1334, 13204, -703)
(-2129, 4936, -621)
(-1941, 7740, -915)
(-2324, 10669, -1018)
(-2514, 12551, -1081)
(-2736, 11530, -1172)
(-2665, 12967, -1195)
(-2896, 12180, -1218)
(-2682, 13424, -1209)
(-2871, 15281, -1292)
(-2733, 16518, -1162)
(-2265, 12758, -986)
(-2302, 14805, -1004)
(-1683, 14366, -816)
(-1921, 16346, -957)
(-2202, 15291, -1065)
(-1856, 15253, -974)
(-2420, 16317, -1218)
(-3510, 18769, -1559)
(-2231, 7836, -1396)
(-1883, 5779, -1140)
(-1971, 6243, -1118)
(-1587, 5435, -820)
